FS110  14W FYS:Coe 2121:ImaginingtheCollege,G Hausknecht,MWRF,11:00 AM,11:50 AM,Hickok Hall,,1.00
FS110  15W FYS:J.S.Bach&AlbertSchweitzer:Lives,B Wolgast,MWRF,11:00 AM,11:50 AM,Marquis Hall,,1.00
FS110  16W FYS:TheJapaneseEconomicMiracle,D Nordmann,MWRF,11:00 AM,11:50 AM,Hickok Hall,,1.00
FS110  17W FYS:Living Life on Purpose,A Perry,MWRF,11:00 AM,11:50 AM,Stuart Hall,,1.00
"FS110  18W FYS:Know Yourself, Know Your Worth",C Johnson,MWRF,11:00 AM,11:50 AM,Hickok Hall,,1.00
"FS110  19W FYS:Money, Power, and Privilege",D Westberg,MWRF,11:00 AM,11:50 AM,Stuart Hall,,1.00
FS110  20W FYS: The Nobel Peace Prize,K Lanegran,MWRF,11:00 AM,11:50 AM,Hickok Hall,,1.00
FS110  21W FYS:Photography:Through the Lens,L Goodson,MWRF,11:00 AM,11:50 AM,Hickok Hall,,1.00
FS110  22W FYS:Physics Through History&Society,M Affatigato,MWRF,11:00 AM,11:50 AM,Stuart Hall,,41.00
FS110  23W FYS: Reading the Human Brain,R Christensen,MWRF,11:00 AM,11:50 AM,Stuart Hall,,1.00
FS110  24W FYS:Science of Athletic Performance,C Libby,MWRF,11:00 AM,11:50 AM,Struve Comm Ctr,,1.00
FS110  25W FYS:  Ancient and Modern Olympics,E Rydze,MWRF,11:00 AM,11:50 AM,Eby Fieldhouse,,1.00
FS110  26W FYS: Visions of Heaven and Hell,G Chaplin,MWRF,11:00 AM,11:50 AM,Hickok Hall,,1.00
FS110  27W FYS: Water and Place,M St. Clair,MWRF,11:00 AM,11:50 AM,Stuart Hall,,1.00
Course Number/Title,Instructor,Days,Beg Time,End Time,Bldg Room,Credits
First Year Seminar,,,,,,
"FS110  28W FYS:The Great War in Film, Fiction,",B Keenan,MWRF,11:00 AM,11:50 AM,Hickok Hall,1.00
Gender Studies,,,,,,
GS107  01W Intro Gender & Sexuality Studies,K Steffens,W,06:00 PM,08:50 PM,Hickok Hall,1.00
GS247  01W Gender & Sexuality StudiesSymposium,K Steffens,M,06:00 PM,08:50 PM,Hickok Hall,1.00
History,,,,,,
HIS  115  01 History of Europe to 1500,B Keenan,MWF,01:00 PM,01:50 PM,Hickok Hall,1.00
HIS  115  02 History of Europe to 1500,B Keenan,MWF,10:00 AM,10:50 AM,Hickok Hall,1.00
HIS  145  01 History of United States to 1865,P Husom,MWF,09:00 AM,09:50 AM,Hickok Hall,1.00
HIS  145  02 History of United States to 1865,P Husom,MWF,10:00 AM,10:50 AM,Hickok Hall,1.00
HIS  205  01W Historians Craft,D Buckaloo,TR,11:00 AM,12:20 PM,Athletics and Recrea 1.00,
HIS  216  01W History of Modern Korea (WE),D Nordmann,TR,12:30 PM,01:50 PM,Hickok Hall,1.00
HIS  238  01W Modern France,B Keenan,TR,02:00 PM,03:20 PM,Hickok Hall,1.00
HIS  268  01W Latin America,D Buckaloo,MWF,10:00 AM,10:50 AM,Hickok Hall,1.00
HIS  355  01W 19th Century Europe,B Keenan,MWF,02:00 PM,02:50 PM,Hickok Hall,1.00
HIS  444  01 Ind Study-History,B Keenan,,00:00 AM,00:00 AM,Arranged,A1.00
HIS  444  02 Ind Study-History,D Nordmann,,00:00 AM,00:00 AM,Arranged,A1.00
HIS  474  01 Seminar Modern European History,B Keenan,,00:00 AM,00:00 AM,Arranged,A1.00
HIS  494  02 Internship in History,A Ziskowski,,00:00 AM,00:00 AM,Arranged,A1.00
Interdisciplinary,,,,,,
INT  494  01 Interdisciplinary Internship,K Lanegran,,00:00 AM,00:00 AM,Arranged,A1.00
INT  494  02 Internship,R Baranowski,,00:00 AM,00:00 AM,Arranged,A1.00
International Studies,,,,,,
IS116  01 Intro to International Studies,J Chaimov,MWF,08:00 AM,08:50 AM,Hickok Hall,1.00
Japanese Studies,,,,,,
JPN  115  01 Elementary Japanese I,M Potter,MWF,01:00 PM,01:50 PM,Hickok Hall,1.00
Kinesiology,,,,,,
KIN  100  01 PE: Weight Training,L Atwater,MWF,08:00 AM,08:50 AM,Weight Training Roo,0.20
meets first 7 weeks,,,,,,
KIN  100  02 PE: Badminton,L Atwater,MWF,12:00 PM,12:50 PM,Eby Fieldhouse,0.20
meets first 7 weeks,,,,,,
KIN  100  05 PE: Yoga,D LeFevre,TR,12:30 PM,01:50 PM,Clark Rac Center,0.20
meets first 7 weeks,,,,,,
KIN  102  01 PE: Tennis,T Galbraith,MWF,01:00 PM,01:50 PM,Clark Rac Center,0.20
meets second 7 weeks,,,,,,
KIN  102  03 PE: Adv Weight Training,K Bakas,MWF,08:00 AM,08:50 AM,Weight Training Roo,0.20
meets second 7 weeks,,,,,,
KIN  102  04 PE: Yoga,D LeFevre,TR,12:30 PM,01:50 PM,Clark Rac Center,0.20
meet second 7 weeks,,,,,,
KIN  102  05 PE: StressReduction&Relaxation,A Parks,TR,11:00 AM,12:20 PM,Clark Rac Center,0.20
meets second 7 weeks,,,,,,
KIN  105  01 Foundations of Physical Movement,E Rydze,MWF,10:00 AM,10:50 AM,Eby Fieldhouse,1.00
KIN  105  02 Foundations of Physical Movement,E Rydze,MWF,02:00 PM,02:50 PM,Eby Fieldhouse,1.00
KIN  115  01 Fundamentals:Exercise & Nutrition,E Rydze,TR,09:30 AM,10:50 AM,Eby Fieldhouse,1.00
KIN  115  02 Fundamentals:Exercise & Nutrition,E Rydze,TR,02:00 PM,03:20 PM,Eby Fieldhouse,1.00
KIN  125  01 Public and Consumer Health,K Rice,MWF,12:00 PM,12:50 PM,Eby Fieldhouse,1.00
KIN  155  01 Substance Abuse,K Rice,TR,09:30 AM,10:50 AM,Eby Fieldhouse,1.00
KIN  155  02 Substance Abuse,L Atwater,TR,12:30 PM,01:50 PM,Eby Fieldhouse,1.00
KIN  175  01 Prevention & Care Ath Inj,J Chandler,MWF,10:00 AM,10:50 AM,Eby Fieldhouse,1.00
"",J Chandler,T,09:30 AM,10:50 AM,Eby Fieldhouse,
Course Number/Title,,Instructor,Days,Beg Time,End Time,Bldg Room,Credits
Kinesiology,,,,,,,
KIN  201  01 Fundamentals of Coaching,,P Molinari,TR,11:00 AM,12:20 PM,Eby Fieldhouse,1.00
KIN  215  01 Psychology of Coaching,,K Rice,MWF,11:00 AM,11:50 AM,Eby Fieldhouse,1.00
KIN  225  01 Motor Learning,,C Libby,MWF,09:00 AM,09:50 AM,Eby Fieldhouse,1.00
KIN  315  01 Methods Elementary Sch PE & Health,,K Hynek,W,06:00 PM,09:00 PM,Eby Fieldhouse,1.00
KIN  385  01 Methods Strength Trng & Condition,,K Diehl,TR,12:30 PM,01:50 PM,Eby Fieldhouse,1.00
"KIN  440  01W Org-Admin of PE, Health & Athl",,L Atwater,TR,09:30 AM,10:50 AM,Athletics and Recrea 1.00,
KIN  442  01 Physiology of Exercise,,J Chandler,TR,08:00 AM,09:20 AM,Eby Fieldhouse,1.00
"KIN  494  01 Internship in PE, Health & Rec",,E Rydze,,00:00 AM,00:00 AM,Arranged,A1.00
"KIN  494  02 Internship in PE, Health & Rec",,L Atwater,,00:00 AM,00:00 AM,Arranged,A1.00
Latin,,,,,,,
LTN  115  01 Basic Latin,,J Langseth,MWF,12:00 PM,12:50 PM,Hickok Hall,1.00
Military Studies-AROTC,,,,,,,
MIL  101  01 Leadership & Pers Devel,,A ROTC,M,07:00 AM,07:50 AM,Struve Comm Ctr,0.25
MIL  102  01 Intro Tactical Leadership,,A ROTC,,00:00 AM,00:00 AM,Arranged,A0.25
MIL  103  01 Innovative Team Leadership,,A ROTC,WF,07:00 AM,07:50 AM,Struve Comm Ctr,0.50
MIL  104  01 Foundations of Tactical Leadership,,A ROTC,,00:00 AM,00:00 AM,Arranged,A0.50
MIL  209  01 Leadership Lab,,A ROTC,R,06:00 AM,07:50 AM,Arranged,A0.00
MIL  215  01 Adv Military Fitness Training,,A ROTC,MWF,06:00 AM,06:50 AM,Clark Rac Center,0.50
MIL  220  01 Adaptive Tactical Leadership,,A ROTC,,00:00 AM,00:00 AM,Arranged,A0.75
MIL  305  01 Leadership in Changing Environs,,A ROTC,,00:00 AM,00:00 AM,Arranged,A0.75
MIL  350  01 Developing Adaptive Ldrshp,,A ROTC,,00:00 AM,00:00 AM,Arranged,A0.75
MIL  360  01 Leadership in Complex World,,A ROTC,,00:00 AM,00:00 AM,Arranged,A0.75
MIL  380  01 Readings Contmp Miitary Issues,,A ROTC,,00:00 AM,00:00 AM,Arranged,A0.25
Military Studies-AFROTC,,,,,,,
MSA  110  01 Air Force Heritage and Values I,,A ROTC,R,09:30 AM,10:20 AM,Arranged,A0.25
MSA  110L 01 AFROTC Leadrshp Lab I00 FA,,A ROTC,R,07:00 AM,08:50 AM,Arranged,A0.25
MSA  210  01 Team and Leadership Fundamentals I,,A ROTC,R,10:30 AM,11:20 AM,Arranged,A0.25
MSA  210L 01 AFROTC Leadrshp Lab 200 FA,,A ROTC,R,07:00 AM,08:50 AM,Arranged,A0.25
MSA  310  01 Leadership Studies:Leading People &,,A ROTC,TR,02:00 PM,03:15 PM,Arranged,A0.75
MSA  310L 01 AFROTC Leadrshp Lab 300 FA,,A ROTC,R,07:00 AM,08:50 AM,Arranged,A0.25
MSA  410  01 National Security / Leadership Resp,,A ROTC,MW,08:00 AM,09:15 AM,Arranged,A0.75
MSA  410L 01 National Security Leadership Lab,,A ROTC,TR,07:00 AM,08:50 AM,Arranged,A0.25
Mathematics,,,,,,,
MTH  135  01 Calculus I,,J White,MTWF,10:00 AM,10:50 AM,Stuart Hall,1.00
MTH  135  02 Calculus I,,W Herron,MTWF,12:00 PM,12:50 PM,Stuart Hall,1.00
MTH  135  03 Calculus I,,B Miller,MTWF,02:00 PM,02:50 PM,Stuart Hall,1.00
MTH  145  01 Calculus II,,M Stobb,MTWF,02:00 PM,02:50 PM,Stuart Hall,1.00
MTH  215  01W Foundations of Advanced Mathematics,,B Miller,MWF,12:00 PM,12:50 PM,Stuart Hall,1.00
MTH  255  01 Calculus III,,J White,MTWF,01:00 PM,01:50 PM,Stuart Hall,41.00
MTH  385  01 Modern Algebra I,,W Herron,MWF,09:00 AM,09:50 AM,Stuart Hall,1.00
MTH  484  01W Special Topics: Math History,,J White,MWF,02:00 PM,02:50 PM,Stuart Hall,1.00
MTH  484  02 Sp Top:Partial Differential Equat,,B Miller,,00:00 AM,00:00 AM,Arranged,A1.00
Music,,,,,,,
MU109  01 Theory of Music I,,A Brewer,MWF,10:00 AM,10:50 AM,Marquis Hall,41.00
MU109L 01 Aural Skills Lab I,,A Brewer,TR,09:30 AM,10:30 AM,Marquis Hall,40.20
MU151  01 Record Label,,R Benson,,00:00 AM,00:00 AM,Arranged,A0.50
Course Number/Title,,Instructor,Days,Beg Time,End Time,Bldg Room,,Credits
Music,,,,,,,,
MU251  01 Record Label Seminar,,R Benson,,00:00 AM,00:00 AM,Arranged,,A0.50
MU284  01 Topics in Music,,B Wolgast,,00:00 AM,00:00 AM,Arranged,,A1.00
MU285  01 Conducting I,,M Falk,TR,09:30 AM,10:50 AM,Marquis Hall,,1.00
MU309  01 Theory of Music III,,B Wolgast,MWF,09:00 AM,09:50 AM,Marquis Hall,,41.00
MU309L 01 Aural Skills Lab III,,B Wolgast,TR,08:30 AM,09:20 AM,Marquis Hall,,0.20
MU421  01 Student Teaching Elementary Music,,S Shanley,,00:00 AM,00:00 AM,Arranged,,A2.00
MU422  01 Student Teaching Secondary Music,,S Shanley,,00:00 AM,00:00 AM,Arranged,,A2.00
MU444  01 Ind Study-Music,,B Wolgast,,00:00 AM,00:00 AM,Arranged,,A1.00
MU458  01W Music History & Literature III,,K Weiler,MWRF,11:00 AM,11:50 AM,Marquis Hall,,1.00
Music - Applied,,,,,,,,
MUA  100  01 Concert Band,,D Terrell,M,04:00 PM,06:00 PM,Sinclair Auditorium,,0.30
"",,D Terrell,W,07:00 PM,09:00 PM,Sinclair Auditorium,,
MUA  100K 01 Group Piano,,J Titus,MW,02:00 PM,02:50 PM,Marquis Hall,,0.30
MUA  101  01 Jazz Ensemble,,S Shanley,T,07:00 PM,08:30 PM,Marquis Hall,,0.20
"",,S Shanley,R,04:00 PM,05:30 PM,Marquis Hall,,
MUA  101B 01 Trumpet,,D Terrell,,00:00 AM,00:00 AM,Marquis Hall,,0.30
MUA  101C 01 Composition,,J Reznicow,,00:00 AM,00:00 AM,Arranged,,A0.30
MUA  101K 01 Piano Lessons,,B Wolgast,,00:00 AM,00:00 AM,Marquis Hall,,0.30
MUA  101P 01 Percussion,,A Lawrence,,00:00 AM,00:00 AM,Arranged,,A0.30
MUA  101S 01 Violin,,M Capistran,,00:00 AM,00:00 AM,Arranged,,A0.30
MUA  101V 01 Voice,,J Bunge,,00:00 AM,00:00 AM,Marquis Hall,,0.30
MUA  101W 01 Flute,,V Bishop,,00:00 AM,00:00 AM,Marquis Hall,,0.30
MUA  102  01 Jazz & Improvisation Lab,,S Shanley,T,08:30 PM,09:20 PM,Marquis Hall,,0.10
MUA  102K 01 Piano Arranging Lessons,,S Shanley,,00:00 AM,00:00 AM,Marquis Hall,,0.30
MUA  103  01 Symphony Orchestra,,S Shanley,T,03:30 PM,05:30 PM,Sinclair Auditorium,,0.30
"",,S Shanley,R,07:00 PM,09:00 PM,Sinclair Auditorium,,
MUA  103K 01 Piano: Jazz,,S Shanley,,00:00 AM,00:00 AM,Marquis Hall,,0.30
MUA  104  01 Concert Choir,,J Bunge,MWF,12:00 PM,12:50 PM,Marquis Hall,,0.30
"",,J Bunge,R,12:30 PM,01:20 PM,Marquis Hall,,
MUA  105  01 Chorale: Crimson Singers,,J Bunge,,00:00 AM,00:00 AM,Arranged,,A0.20
MUA  110V 01 Voice Sight Singing Lessons,,Staff,,00:00 AM,00:00 AM,Arranged,,A0.30
MUA  111  01 Coe Handbell Ensemble,,M Wolgast,T,12:30 PM,01:50 PM,Arranged,,A0.20
MUA  111B 01 French Horn,,C Harris,,00:00 AM,00:00 AM,Marquis Hall,,0.30
MUA  111K 01 Organ,,B Wolgast,,00:00 AM,00:00 AM,Marquis Hall,,0.30
MUA  111S 01 Viola,,J Reynolds-Altfillisch,,00:00 AM,00:00 AM,Arranged,,A0.30
MUA  111W 01 Oboe,,L Fleer,,00:00 AM,00:00 AM,Arranged,,A0.30
MUA  121B 01 Trombone,,J Nagel,,00:00 AM,00:00 AM,Arranged,,A0.30
MUA  121K 01 Harpsichord Lessons,,M Wolgast,,00:00 AM,00:00 AM,Arranged,,A0.30
MUA  121S 01 Cello,,A Phelps,,00:00 AM,00:00 AM,Arranged,,A0.30
MUA  121W 01 Clarinet,,L Wissenberg,,00:00 AM,00:00 AM,Arranged,,A0.30
MUA  130V 01 Musical Theatre Practicum,,Staff,,00:00 AM,00:00 AM,Arranged,,A0.50
MUA  131B 01 Low Brass,,J Nagel,,00:00 AM,00:00 AM,Marquis Hall,,0.30
MUA  131S 01 String Bass,,J Hall,,00:00 AM,00:00 AM,Arranged,,A0.30
MUA  131V 01 Song Interpretation,,L Rothrock,M,03:00 PM,04:30 PM,Marquis Hall,,0.20
MUA  131W 01 Saxophone,,R Morton,,00:00 AM,00:00 AM,Arranged,,A0.30
MUA  133B 01 Brass Ensemble & Lit,,Staff,,00:00 AM,00:00 AM,Arranged,,A0.20
MUA  133K 01 Keyboard Ensemble & Literature,,B Wolgast,,00:00 AM,00:00 AM,Arranged,,A0.20
MUA  133P 01 Percussion Ensemble & Literature,,A Lawrence,,00:00 AM,00:00 AM,Arranged,,A0.20
MUA  133S 01 String Ens & Lit,,A Phelps,,00:00 AM,00:00 AM,Arranged,,A0.20
Course Number/Title,Instructor,Days,Beg Time,End Time,Bldg Room,,Credits
Music - Applied,,,,,,,
MUA  133V 01 Vocal Literature,J Bunge,,00:00 AM,00:00 AM,Arranged,,A0.20
MUA  133W 01 Woodwind Ensemble & Literature,Staff,,00:00 AM,00:00 AM,Arranged,,A0.20
MUA  134B 01 Brass Pedagogy,Staff,,00:00 AM,00:00 AM,Arranged,,A0.20
MUA  134K 01 Keyboard Pedagogy,B Wolgast,,00:00 AM,00:00 AM,Arranged,,A0.20
MUA  134P 01 Percussion Pedagogy,A Lawrence,,00:00 AM,00:00 AM,Arranged,,A0.20
MUA  134S 01 Strings Pedagogy,A Phelps,,00:00 AM,00:00 AM,Arranged,,A0.20
MUA  134V 01 Vocal Pedagogy,J Bunge,,00:00 AM,00:00 AM,Arranged,,A1.00
MUA  141S 01 Harp,G Brumwell,,00:00 AM,00:00 AM,Arranged,,A0.30
MUA  141W 01 Bassoon,R Morton,,00:00 AM,00:00 AM,Arranged,,A0.30
MUA  151S 01 Guitar,J Nothnagle,,00:00 AM,00:00 AM,Arranged,,A0.30
MUA  163  01 Instr Tech: Double Reeds,L Fleer,TR,06:00 PM,06:50 PM,Marquis Hall,,0.30
MUA  173  01 Instr Tech: High Brass,J Nagel,TR,06:00 PM,06:50 PM,Marquis Hall,,0.30
MUA  202B 01 Trumpet,D Terrell,,00:00 AM,00:00 AM,Arranged,,A0.60
MUA  202C 01 Composition,J Reznicow,,00:00 AM,00:00 AM,Arranged,,A0.60
MUA  202K 01 Piano Lessons,B Wolgast,,00:00 AM,00:00 AM,Arranged,,A0.60
MUA  202P 01 Percussion,A Lawrence,,00:00 AM,00:00 AM,Arranged,,A0.60
MUA  202S 01 Violin,M Capistran,,00:00 AM,00:00 AM,Arranged,,A0.60
MUA  202V 01 Voice,J Bunge,,00:00 AM,00:00 AM,Arranged,,A0.60
MUA  202W 01 Flute,V Bishop,,00:00 AM,00:00 AM,Arranged,,A0.60
MUA  211  01 Group Sight-Singing Lessons,Staff,,00:00 AM,00:00 AM,Arranged,,A0.20
MUA  212B 01 French Horn,C Harris,,00:00 AM,00:00 AM,Arranged,,A0.60
MUA  212K 01 Organ,B Wolgast,,00:00 AM,00:00 AM,Arranged,,A0.60
MUA  212S 01 Viola,J Reynolds-Altfillisch,,00:00 AM,00:00 AM,Arranged,,A0.60
MUA  212W 01 Oboe,L Fleer,,00:00 AM,00:00 AM,Arranged,,A0.60
MUA  222B 01 Trombone,J Nagel,,00:00 AM,00:00 AM,Arranged,,A0.60
MUA  222K 01 Harpsichord Lessons,M Wolgast,,00:00 AM,00:00 AM,Arranged,,A0.60
MUA  222S 01 Cello,A Phelps,,00:00 AM,00:00 AM,Arranged,,A0.60
MUA  222W 01 Clarinet,L Wissenberg,,00:00 AM,00:00 AM,Arranged,,A0.60
MUA  232B 01 Low Brass,J Nagel,,00:00 AM,00:00 AM,Arranged,,A0.60
MUA  232S 01 String Bass,J Hall,,00:00 AM,00:00 AM,Arranged,,A0.60
MUA  232W 01 Saxophone,R Morton,,00:00 AM,00:00 AM,Arranged,,A0.60
MUA  242S 01 Harp,G Brumwell,,00:00 AM,00:00 AM,Arranged,,A0.60
MUA  242W 01 Bassoon,R Morton,,00:00 AM,00:00 AM,Arranged,,A0.60
MUA  252S 01 Guitar,J Nothnagle,,00:00 AM,00:00 AM,Arranged,,A0.60
MUA  284  01 Applied Music: Special Topics,B Wolgast,,00:00 AM,00:00 AM,Arranged,,A0.30
"",B Wolgast,,00:00 AM,00:00 AM,Arranged,,A
MUA  284  02 Applied Music: Special Topics,B Wolgast,,00:00 AM,00:00 AM,Arranged,,A0.60
MUA  300A 01 Alexander Technique,M Marrs,,00:00 AM,00:00 AM,Arranged,,A0.30
MUA  303B 01 Trumpet (Adv Std),D Terrell,,00:00 AM,00:00 AM,Arranged,,A0.60
MUA  303C 01 Composition (Advanced Standing),J Reznicow,,00:00 AM,00:00 AM,Arranged,,A0.60
MUA  303K 01 Piano (Adv Standing),B Wolgast,,00:00 AM,00:00 AM,Arranged,,A0.60
MUA  303P 01 Percussion (Adv Std),A Lawrence,,00:00 AM,00:00 AM,Arranged,,A0.60
MUA  303S 01 Violin (Adv Standing),M Capistran,,00:00 AM,00:00 AM,Arranged,,A0.60
MUA  303V 01 Voice (Adv Standing),J Bunge,,00:00 AM,00:00 AM,Arranged,,A0.60
MUA  303W 01 Flute (Adv Standing),V Bishop,,00:00 AM,00:00 AM,Arranged,,A0.60
MUA  313B 01 French Horn (Adv Std),C Harris,,00:00 AM,00:00 AM,Arranged,,A0.60
MUA  313K 01 Organ (Adv Standing),B Wolgast,,00:00 AM,00:00 AM,Arranged,,A0.60
MUA  313S 01 Viola (Adv Standing),J Reynolds-Altfillisch,,00:00 AM,00:00 AM,Arranged,,A0.60
MUA  313W 01 Oboe (Adv Standing),L Fleer,,00:00 AM,00:00 AM,Arranged,,A0.60
MUA  323B 01 Trombone (Advanced Standing),J Nagel,,00:00 AM,00:00 AM,Arranged,,A0.60
Course Number/Title,Instructor,Days,Beg Time,End Time,Bldg Room,,Credits
Music - Applied,,,,,,,
MUA  323K 01 Harpsichord Lessons(Adv Standing),M Wolgast,,00:00 AM,00:00 AM,Arranged,,A0.60
MUA  323S 01 Cello (Adv Standing),A Phelps,,00:00 AM,00:00 AM,Arranged,,A0.60
MUA  323W 01 Clarinet (Adv Std),L Wissenberg,,00:00 AM,00:00 AM,Arranged,,A0.60
MUA  333B 01 Low Brass (Ad Std),J Nagel,,00:00 AM,00:00 AM,Arranged,,A0.60
MUA  333S 01 String Bass (Advanced Standing),J Hall,,00:00 AM,00:00 AM,Arranged,,A0.60
MUA  333W 01 Saxophone (Adv Std),R Morton,,00:00 AM,00:00 AM,Arranged,,A0.60
MUA  343S 01 Harp (Adv Standing),G Brumwell,,00:00 AM,00:00 AM,Arranged,,A0.60
MUA  343W 01 Bassoon (Adv Std),R Morton,,00:00 AM,00:00 AM,Arranged,,A0.60
MUA  353S 01 Guitar (Adv Std),J Nothnagle,,00:00 AM,00:00 AM,Arranged,,A0.60
MUA  413  01 Orchestration,J Reznicow,,00:00 AM,00:00 AM,Arranged,,A0.60
MUA  490  01 Senior Recital,Staff,,00:00 AM,00:00 AM,Arranged,,A0.00
new,,,,,,,
NEW  000  01 New Student Registration,J Upah,,00:00 AM,00:00 AM,Arranged,,A3.00
Nursing,,,,,,,
NUR  100  01 Nursing Issues,Staff,W,03:30 PM,04:20 PM,Cherry Auditorium,,0.20
NUR  200  01 Nursing Issues II,Staff,W,03:30 PM,04:20 PM,Cherry Auditorium,,0.20
NUR  300  01 Art & Science of Nursing,H Bursch,WF,08:00 AM,09:20 AM,Stuart Hall,,41.00
NUR  305  01W Information Literacy & Management,K Siems,F,12:00 PM,01:20 PM,Stuart Hall,,40.50
NUR  315  01 Pathophysiology,J Mcintosh,F,09:30 AM,10:50 AM,Stuart Hall,,41.00
"",J Mcintosh,F,01:30 PM,02:50 PM,Stuart Hall,,4
NUR  315  02 Patho Assessment,M Umbarger-Mackey,W,09:30 AM,10:50 AM,Stuart Hall,,41.00
"",M Umbarger-Mackey,W,01:30 PM,02:50 PM,Stuart Hall,,4
NUR  315C 10 Pathophysiology Skills Clinical,V Nicola,S,09:00 AM,03:30 PM,Arranged,,A0.00
NUR  315C 20 Pathophysiology Skills Clinical,K Siems,M,09:00 AM,03:30 PM,Arranged,,A0.00
NUR  315C 30 Pathophysiology Skills Clinical,L Kromminga,M,03:00 PM,09:30 PM,Arranged,,A0.00
NUR  315C 40 Pathophysiology Skills Clinical,A Kittrell,T,03:00 PM,09:30 PM,Arranged,,A0.00
NUR  315C 50 Pathophysiology Skills Clinical,A Kittrell,T,09:30 AM,03:00 PM,Arranged,,A0.00
NUR  315L 01 Pathophysiology Skills Lab,A Kittrell,R,08:00 AM,12:00 PM,Stuart Hall,,40.00
NUR  315L 02 Pathophysiology Skills Lab,A Kittrell,R,01:00 PM,05:00 PM,Stuart Hall,,40.00
NUR  360  01 Pharmacological Principles,K Siems,W,12:00 PM,01:20 PM,Stuart Hall,,40.50
NUR  415  01 Advanced Concepts in Nursing,H Bursch,T,08:00 AM,09:20 AM,Stuart Hall,,42.00
"",H Bursch,R,12:00 PM,01:20 PM,Stuart Hall,,4
NUR  415C 10 Adv Appl Clinical,M Tobin,T,03:00 PM,04:20 PM,Stuart Hall,,40.00
NUR  415C 20 Adv Appl Clinical,M Umbarger-Mackey,T,03:00 PM,04:20 PM,Stuart Hall,,40.00
NUR  415L 01 Adv Appl Lab,A Kittrell,M,08:00 AM,12:00 PM,Stuart Hall,,40.00
NUR  415L 02 Adv Appl Lab,A Kittrell,M,01:00 PM,05:00 PM,Stuart Hall,,40.00
NUR  425  01 Nursing Research,A Whitters,R,09:30 AM,10:50 AM,Stuart Hall,,41.00
"",A Whitters,R,01:30 PM,02:50 PM,Stuart Hall,,4
NUR  430  01W Community & Population Oriented Nur,M Umbarger-Mackey,T,09:30 AM,10:50 AM,Stuart Hall,,41.00
"",M Umbarger-Mackey,T,01:30 PM,02:50 PM,Stuart Hall,,4
Occasional Course,,,,,,,
OCC  111  01 Exploration for Health & Society,S Kelly,TR,09:30 AM,10:50 AM,Hickok Hall,,0.50
OCC  122  01 Palcky Czechia Exchange,J Chaimov,,00:00 AM,00:00 AM,Arranged,,A3.00
OCC  220  01 Nagoya-Gakuin Exchange Japan,J Chaimov,,00:00 AM,00:00 AM,Arranged,,A4.00
OCC  225  01 Coe/Northern Ireland Scholars,S Farrell,,00:00 AM,00:00 AM,Arranged,,A3.00
OCC  235  01 Sookmyung /Coe Exchange S. Korea,J Chaimov,,00:00 AM,00:00 AM,Arranged,,A4.00
OCC  255  01 OCC Valenciennes France,J Janca-Aji,,00:00 AM,00:00 AM,Arranged,,A4.00
OCC  265  01 Turkey Exchange - Altinbas,J Chaimov,,00:00 AM,00:00 AM,Arranged,,A3.00
Course Number/Title,Instructor,Days,Beg Time,End Time,Bldg Room,,Credits
Occasional Course,,,,,,,
OCC  325  01 ACM Field Musuem,,,00:00 AM,00:00 AM,Arranged,,A4.00
OCC  365  01 Study & Research at Oak Ridge Lab,J Chaimov,,00:00 AM,00:00 AM,Arranged,,A4.00
Study at Another College,,,,,,,
OTH  340  01 MT MERCY-AUDITING,Staff,,00:00 AM,00:00 AM,Arranged,,A1.00
OTH  401  01 U.Iowa MPH program course holder,Staff,,00:00 AM,00:00 AM,Arranged,,A1.00
OTH  402  01 U.Iowa MPH Course Holder 2,Staff,,00:00 AM,00:00 AM,Arranged,,A1.00
Philosophy,,,,,,,
PHL  105  01W IntroPhil: Science Fiction & Philo,J Lemos,TR,12:30 PM,01:50 PM,Hickok Hall,,1.00
"PHL  105  02W Intro Phil: God, Self, & Free Will",T Javoroski,TR,09:30 AM,10:50 AM,Hickok Hall,,1.00
PHL  115  01 Logic,J Lemos,MWF,10:00 AM,10:50 AM,Hickok Hall,,1.00
PHL  128  01W Morality & Moral Controversies,J Hoover,TR,02:00 PM,03:20 PM,Hickok Hall,,1.00
PHL  240  01W Early Modern Philosophy,J Lemos,MWF,01:00 PM,01:50 PM,Hickok Hall,,1.00
"PHL  245  01W Minds, Brains, and Robots",J Hoover,MWF,10:00 AM,10:50 AM,Hickok Hall,,1.00
PHL  345  01W Philosophy of Language,J Hoover,MW,03:00 PM,04:20 PM,Hickok Hall,,1.00
Physics,,,,,,,
PHY  114  01 Modern Astronomy,J Wetzel,MW,06:00 PM,07:20 PM,Stuart Hall,,41.00
PHY  114L 01 Modern Astronomy - Lab,J Wetzel,M,07:30 PM,09:20 PM,Peterson Hall,,0.00
PHY  114L 02 Modern Astronomy - Lab,J Wetzel,W,07:30 PM,09:20 PM,Peterson Hall,,0.00
PHY  165  01 Basic Physics I,U Akgun,MWF,08:00 AM,08:50 AM,Stuart Hall,,41.00
PHY  165L 01 Basic Physics Lab,C Bragatto,T,08:00 AM,09:50 AM,Peterson Hall,,0.00
PHY  165L 02 Basic Physics Lab,C Bragatto,T,10:00 AM,11:50 AM,Peterson Hall,,0.00
